"","fecha","nuevos","nuevos_t","recuperados","recuperados_t","fallecidos","fallecidos_t","activos"
"1",2020-03-13,2,2,0,0,0,0,2
"2",2020-03-14,8,10,0,0,0,0,10
"3",2020-03-15,7,17,0,0,0,0,17
"4",2020-03-16,16,33,0,0,0,0,33
"5",2020-03-17,3,36,0,0,0,0,36
"6",2020-03-18,5,41,0,0,0,0,41
"7",2020-03-19,2,43,0,0,0,0,43
"8",2020-03-20,27,70,0,0,0,0,70
"9",2020-03-21,3,73,15,15,0,0,58
"10",2020-03-22,4,77,0,15,0,0,62
"11",2020-03-23,7,84,0,15,0,0,69
"12",2020-03-24,7,91,0,15,0,0,76
"13",2020-03-25,15,106,0,15,0,0,91
"14",2020-03-26,1,107,16,31,1,1,75
"15",2020-03-27,6,113,8,39,1,1,72
"16",2020-03-28,6,119,0,39,0,0,78
"17",2020-03-29,10,129,0,39,1,1,87
"18",2020-03-30,6,135,0,39,0,0,93
"19",2020-03-31,8,143,2,41,0,0,99
"20",2020-04-01,1,144,2,43,0,0,98
"21",2020-04-02,2,146,0,43,2,2,98
"22",2020-04-03,7,153,9,52,2,2,94
"23",2020-04-04,2,155,0,52,0,0,96
"24",2020-04-05,4,159,0,52,0,0,100
"25",2020-04-06,6,165,13,65,0,0,93
"26",2020-04-07,1,166,0,65,0,0,94
"27",2020-04-08,1,167,0,65,2,2,93
"28",2020-04-09,4,171,19,84,0,0,78
"29",2020-04-10,4,175,0,84,0,0,82
"30",2020-04-11,0,175,9,93,0,0,73
"31",2020-04-12,6,181,0,93,0,0,79
"32",2020-04-13,8,189,17,110,0,0,70
"33",2020-04-14,4,193,1,111,0,0,73
"34",2020-04-15,4,197,0,111,0,0,77
"35",2020-04-16,7,204,0,111,0,0,84
"36",2020-04-17,23,227,2,113,0,0,105
"37",2020-04-18,0,227,4,117,0,0,101
"38",2020-04-19,29,256,0,117,0,0,130
"39",2020-04-20,29,285,0,117,1,1,158
"40",2020-04-21,3,288,5,122,0,0,156
"41",2020-04-22,10,298,0,122,0,0,166
"42",2020-04-23,13,311,4,126,0,0,175
"43",2020-04-24,7,318,2,128,0,0,180
"44",2020-04-25,5,323,4,132,0,0,181
"45",2020-04-26,2,325,5,137,0,0,178
"46",2020-04-27,4,329,5,142,0,0,177
"47",2020-04-28,0,329,0,142,0,0,177
"48",2020-04-29,2,331,0,142,0,0,179
"49",2020-04-30,2,333,0,142,0,0,181
"50",2020-05-01,2,335,6,148,0,0,177
"51",2020-05-02,10,345,0,148,0,0,187
"52",2020-05-03,12,357,10,158,0,0,189
"53",2020-05-04,4,361,3,161,0,0,190
"54",2020-05-05,6,367,3,164,0,0,193
"55",2020-05-06,12,379,12,176,0,0,193
"56",2020-05-07,2,381,9,185,0,0,186
"57",2020-05-08,7,388,5,190,0,0,188
"58",2020-05-09,14,402,0,190,0,0,202
"59",2020-05-10,12,414,3,193,0,0,211
"60",2020-05-11,8,422,12,205,0,0,207
"61",2020-05-12,1,423,15,220,0,0,193
"62",2020-05-13,17,440,0,220,0,0,210
"63",2020-05-14,15,455,3,223,0,0,222
"64",2020-05-15,4,459,6,229,0,0,220
"65",2020-05-16,45,504,12,241,0,0,253
"66",2020-05-17,37,541,0,241,0,0,290
"67",2020-05-18,77,618,0,241,0,0,367
"68",2020-05-19,131,749,12,253,0,0,486
"69",2020-05-20,75,824,0,253,0,0,561
"70",2020-05-21,58,882,9,262,0,0,610
"71",2020-05-22,62,944,0,262,0,0,672
"72",2020-05-23,66,1010,0,262,0,0,738
"73",2020-05-24,111,1121,0,262,0,0,849
"74",2020-05-25,56,1177,40,302,0,0,865
"75",2020-05-26,34,1211,0,302,1,1,898
"76",2020-05-27,34,1245,0,302,0,0,932
"77",2020-05-28,82,1327,0,302,0,0,1014
"78",2020-05-29,43,1370,0,302,3,3,1054
"79",2020-05-30,89,1459,9,311,0,0,1134
"80",2020-05-31,51,1510,0,311,0,0,1185
"81",2020-06-01,153,1663,0,311,3,3,1335
"82",2020-06-02,156,1819,23,334,1,1,1467
"83",2020-06-03,133,1952,51,385,2,2,1547
"84",2020-06-04,135,2087,0,385,0,0,1682
"85",2020-06-05,58,2145,0,385,0,0,1740
"86",2020-06-06,171,2316,0,385,2,2,1909
"87",2020-06-07,61,2377,45,430,0,0,1925
"88",2020-06-08,96,2473,57,487,0,0,1964
"89",2020-06-09,159,2632,0,487,1,1,2122
"90",2020-06-10,106,2738,0,487,0,0,2228
"91",2020-06-11,76,2814,0,487,0,0,2304
"92",2020-06-12,65,2879,0,487,0,0,2369
"93",2020-06-13,25,2904,228,715,1,1,2165
"94",2020-06-14,74,2978,120,835,1,1,2118
"95",2020-06-15,84,3062,0,835,1,1,2201
"96",2020-06-16,88,3150,0,835,1,1,2288
"97",2020-06-17,236,3386,0,835,1,1,2523
